date,ticker,field,value
2024-11-29,SANB11 BZ Equity,PX_LAST,22.404
2024-12-02,SANB11 BZ Equity,PX_LAST,22.197
2024-12-03,SANB11 BZ Equity,PX_LAST,22.727
2024-12-04,SANB11 BZ Equity,PX_LAST,22.736
2024-12-05,SANB11 BZ Equity,PX_LAST,23.141
2024-12-06,SANB11 BZ Equity,PX_LAST,22.898
2024-12-09,SANB11 BZ Equity,PX_LAST,22.691
2024-12-10,SANB11 BZ Equity,PX_LAST,22.925
2024-12-11,SANB11 BZ Equity,PX_LAST,22.979
2024-12-12,SANB11 BZ Equity,PX_LAST,22.161
2024-12-13,SANB11 BZ Equity,PX_LAST,21.793
2024-12-16,SANB11 BZ Equity,PX_LAST,21.523
2024-12-17,SANB11 BZ Equity,PX_LAST,22.116
2024-12-18,SANB11 BZ Equity,PX_LAST,21.173
2024-12-19,SANB11 BZ Equity,PX_LAST,21.334
2024-12-20,SANB11 BZ Equity,PX_LAST,21.829
2024-12-23,SANB11 BZ Equity,PX_LAST,21.155
2024-12-26,SANB11 BZ Equity,PX_LAST,21.361
2024-12-27,SANB11 BZ Equity,PX_LAST,21.236
2024-12-30,SANB11 BZ Equity,PX_LAST,21.406
2025-01-02,SANB11 BZ Equity,PX_LAST,21.343
2025-01-03,SANB11 BZ Equity,PX_LAST,21.047
2025-01-06,SANB11 BZ Equity,PX_LAST,21.568
2025-01-07,SANB11 BZ Equity,PX_LAST,21.901
2025-01-08,SANB11 BZ Equity,PX_LAST,21.613
2025-01-09,SANB11 BZ Equity,PX_LAST,21.613
2025-01-10,SANB11 BZ Equity,PX_LAST,21.397
2025-01-13,SANB11 BZ Equity,PX_LAST,21.46
2025-01-14,SANB11 BZ Equity,PX_LAST,21.658
2025-01-15,SANB11 BZ Equity,PX_LAST,22.422
2025-01-16,SANB11 BZ Equity,PX_LAST,22.494
2025-01-17,SANB11 BZ Equity,PX_LAST,22.341
2025-01-20,SANB11 BZ Equity,PX_LAST,22.44
2025-01-21,SANB11 BZ Equity,PX_LAST,22.503
2025-01-22,SANB11 BZ Equity,PX_LAST,22.79
2025-01-23,SANB11 BZ Equity,PX_LAST,22.446
2025-01-24,SANB11 BZ Equity,PX_LAST,22.683
2025-01-27,SANB11 BZ Equity,PX_LAST,22.92
2025-01-28,SANB11 BZ Equity,PX_LAST,22.802
2025-01-29,SANB11 BZ Equity,PX_LAST,22.628
2025-01-30,SANB11 BZ Equity,PX_LAST,23.496
2025-01-31,SANB11 BZ Equity,PX_LAST,23.706
2025-02-03,SANB11 BZ Equity,PX_LAST,23.587
2025-02-04,SANB11 BZ Equity,PX_LAST,23.286
2025-02-05,SANB11 BZ Equity,PX_LAST,24.728
2025-02-06,SANB11 BZ Equity,PX_LAST,24.655
2025-02-07,SANB11 BZ Equity,PX_LAST,24.117
2025-02-10,SANB11 BZ Equity,PX_LAST,23.879
2025-02-11,SANB11 BZ Equity,PX_LAST,23.97
2025-02-12,SANB11 BZ Equity,PX_LAST,23.824
2025-02-13,SANB11 BZ Equity,PX_LAST,23.432
2025-02-14,SANB11 BZ Equity,PX_LAST,24.327
